gcc_code16,date,precip,tmax,tmin,vapourpres_h09,vapourpres_h15
5GPER,2014-02-02,8.08620280166515e-06,30.9975715845446,16.6884047255365,14.3374035287996,14.1200021083273
5GPER,2014-02-03,1.39617797604315e-06,33.1519408909389,16.9727319519119,11.5671070733127,12.8481402591259
5GPER,2014-02-04,0,36.8739088189038,21.3160085286922,16.0454578122471,16.4771074758395
5GPER,2014-02-05,0,31.9569616594573,21.0143742797336,18.9844155680355,21.5124694443962
5GPER,2014-02-06,0.00333882044610041,32.0410787647764,20.0669990854107,18.8440615780677,20.7752430316783
5GPER,2014-02-07,0.00133450134004066,30.1094353354166,19.2204170881777,16.4851467619761,17.850960995536
5GPER,2014-02-08,0,28.7475375069203,14.4935823026876,12.5325312054934,13.094105333495
5GPER,2014-02-09,0,31.9027985414374,15.3035080413699,11.6266181455532,12.1926759369282
5GPER,2014-02-10,0.00571200648971048,29.4137786228536,17.9737367918743,14.555846181277,18.7152009471183
5GPER,2014-02-11,1.06025578622539e-05,32.2525967299769,17.3905213992,14.3897887974629,16.5662263538681
5GPER,2014-02-12,0.0013384213226814,33.4551620932849,20.2009421954668,18.0095940233058,17.9435673170727
5GPER,2014-02-13,0.000109886950101857,33.5226440534013,20.5318422264955,18.2767077733382,20.1448518892833
5GPER,2014-02-14,0,30.8724329344037,19.601409475787,17.4446588832117,19.6954060473029
5GPER,2014-02-15,0,30.7137403715426,18.4295999673314,16.0039189642672,16.7770782914977
5GPER,2014-02-16,7.56204812494619e-08,28.5374664816433,16.5252397558315,18.9329836649274,15.6064896868399
5GPER,2014-02-17,0,31.989736657619,18.0321466642548,16.624680813974,16.7059885798624
5GPER,2014-02-18,8.88040584649176e-06,34.3001609484392,18.1150056262746,12.2741686818697,12.6482055223812
5GPER,2014-02-19,0,36.2023546656615,17.7091169659516,13.5945313615589,12.8780080094464
5GPER,2014-02-20,2.91936681040384e-06,36.5280298419142,21.6913277547134,12.9968130373259,13.585827888865
5GPER,2014-02-21,7.87724320964694e-06,34.6778072190999,19.963667867772,13.1312277007037,11.0005623984261
5GPER,2014-02-22,0.147222640235068,34.5095517948918,23.409554142124,14.3002677796826,13.7735683930038
5GPER,2014-02-23,3.01529203353132e-06,34.1597796018892,20.3931735132617,14.0172398219911,14.4275372671936
5GPER,2014-02-24,0,32.8335466425299,18.6165832563299,15.3863590901441,16.0374801770003
5GPER,2014-02-25,0,30.6928135951203,19.4233478972198,15.3618736537835,14.0599260286217
5GPER,2014-02-26,0,30.0381357875972,15.9740123935581,11.1971687894463,9.85764924226371
5GPER,2014-02-27,0,33.638885669212,17.3604434351421,11.3071329682128,13.0888065745903
5GPER,2014-02-28,0,36.425972714934,19.4673510072341,10.5971525124588,9.34854133640014
5GPER,2014-03-01,0,37.6178769088577,20.109222673251,10.9741612311402,10.2147967603122
5GPER,2014-03-02,0,36.5993313861579,18.1281927474954,10.5050249448345,11.4213370852789
